Time (s),Force (mN),Deflection (mm),Temperature (C)
0,30,0,-18.04
0.5,4187,0.015,-18.04
1,4371,0.015,-18.04
1.5,4461,0.016,-18.04
2,4465,0.016,-18.04
2.5,4466,0.016,-18.04
3,4466,0.017,-18.04
3.5,4467,0.017,-18.04
4,4468,0.017,-18.04
4.5,4468,0.017,-18.04
5,4468,0.017,-18.04
5.5,4468,0.017,-18.04
6,4468,0.017,-18.04
6.5,4468,0.017,-18.04
7,4468,0.017,-18.04
7.5,4469,0.017,-18.04
8,4469,0.017,-18.05
8.5,4468,0.017,-18.05
9,4468,0.017,-18.04
9.5,4469,0.017,-18.04
10,4469,0.018,-18.04
10.5,4469,0.018,-18.04
11,4469,0.018,-18.04
11.5,4468,0.018,-18.04
12,4468,0.018,-18.04
12.5,4469,0.018,-18.04
13,4469,0.018,-18.04
13.5,4469,0.018,-18.05
14,4469,0.018,-18.05
14.5,4469,0.018,-18.04
15,4469,0.018,-18.05
15.5,4469,0.018,-18.04
16,4469,0.018,-18.04
16.5,4469,0.018,-18.04
17,4469,0.018,-18.04
17.5,4470,0.019,-18.04
18,4469,0.019,-18.04
18.5,4470,0.018,-18.04
19,4469,0.019,-18.04
19.5,4469,0.019,-18.03
20,4469,0.019,-18.03
20.5,4470,0.019,-18.03
21,4470,0.019,-18.03
21.5,4470,0.019,-18.03
22,4470,0.019,-18.03
22.5,4470,0.019,-18.03
23,4469,0.019,-18.02
23.5,4470,0.019,-18.02
24,4469,0.019,-18.02
24.5,4470,0.019,-18.02
25,4470,0.019,-18.02
25.5,4470,0.019,-18.02
26,4470,0.019,-18.02
26.5,4471,0.019,-18.02
27,4470,0.019,-18.01
27.5,4470,0.019,-18.01
28,4470,0.019,-18.01
28.5,4471,0.019,-18.01
29,4470,0.019,-18.01
29.5,4469,0.019,-18.01
30,4469,0.019,-18.01
30.5,4470,0.019,-18.01
31,4470,0.019,-18.01
31.5,4469,0.019,-18.01
32,4470,0.019,-18.01
32.5,4469,0.02,-18.01
33,4470,0.019,-18.01
33.5,4470,0.019,-18.01
34,4469,0.019,-18.01
34.5,4469,0.02,-18.01
35,4470,0.019,-18.02
35.5,4470,0.02,-18.01
36,4470,0.02,-18.01
36.5,4470,0.019,-18.01
37,4471,0.02,-18.01
37.5,4470,0.02,-18.01
38,4469,0.02,-18.01
38.5,4470,0.02,-18.01
39,4469,0.019,-18.01
39.5,4469,0.02,-18.01
40,4471,0.02,-18.01
40.5,4470,0.02,-18.01
41,4470,0.019,-18.01
41.5,4470,0.02,-18.01
